n,metode,waktu_detik,memori_kb,residual_error,jumlah_iterasi
10,Eliminasi Gauss,0.0002,2661.57,3.33e-16,
10,Gauss-Jordan,0.0003,2661.77,3.33e-16,
10,Jacobi,0.0003,2660.96,2.09e-05,8
10,Gauss-Seidel,0.0002,2661.16,1.29e-06,5
100,Eliminasi Gauss,0.0738,3372.92,8.88e-16,
100,Gauss-Jordan,0.1232,3375.03,8.88e-16,
100,Jacobi,0.0250,3063.98,3.03e-02,15
100,Gauss-Seidel,0.0101,3063.37,4.37e-05,6
200,Eliminasi Gauss,0.5413,5506.42,1.44e-15,
200,Gauss-Jordan,0.9161,5508.05,1.44e-15,
200,Jacobi,0.0951,4259.63,1.26e-01,15
200,Gauss-Seidel,0.0375,4263.96,8.15e-05,6
300,Eliminasi Gauss,2.5428,9074.71,1.89e-15,
300,Gauss-Jordan,4.7238,9075.89,2.22e-15,
300,Jacobi,0.3002,6242.75,2.06e-01,15
300,Gauss-Seidel,0.1170,6247.80,8.36e-05,6
400,Eliminasi Gauss,8.2640,14011.46,2.66e-15,
400,Gauss-Jordan,15.1310,14012.02,2.22e-15,
400,Jacobi,0.6416,9007.07,2.49e-01,15
400,Gauss-Seidel,0.2472,9013.03,9.11e-05,6
500,Eliminasi Gauss,18.6725,20452.19,2.78e-15,
500,Gauss-Jordan,33.0321,20451.85,2.55e-15,
500,Jacobi,1.1669,12552.88,2.81e-01,15
500,Gauss-Seidel,0.3740,12559.49,3.24e-04,5
600,Eliminasi Gauss,33.8389,28480.80,3.00e-15,
600,Gauss-Jordan,60.0120,28479.77,4.00e-15,
600,Jacobi,1.7542,16880.05,3.16e-01,15
600,Gauss-Seidel,0.5783,16887.44,2.93e-04,5
700,Eliminasi Gauss,56.0864,37646.07,3.89e-15,
700,Gauss-Jordan,98.4958,37644.33,4.66e-15,
700,Jacobi,2.5020,21987.85,3.47e-01,15
700,Gauss-Seidel,0.8555,21996.03,3.28e-04,5
800,Eliminasi Gauss,85.1632,48273.46,4.33e-15,
800,Gauss-Jordan,150.3238,48271.38,3.55e-15,
800,Jacobi,3.4000,27877.38,3.47e-01,15
800,Gauss-Seidel,1.1000,27886.58,3.07e-04,5
900,Eliminasi Gauss,123.8920,60392.75,4.11e-15,
900,Gauss-Jordan,215.6967,60389.87,4.88e-15,
900,Jacobi,4.4010,34548.33,3.73e-01,15
900,Gauss-Seidel,1.4665,34558.12,3.22e-04,5
1000,Eliminasi Gauss,176.1273,74061.68,4.88e-15,
1000,Gauss-Jordan,299.1826,74058.18,5.33e-15,
1000,Jacobi,5.5638,42000.32,3.97e-01,15
1000,Gauss-Seidel,1.8368,42010.78,3.53e-04,5
1100,Eliminasi Gauss,230.4503,88078.78,4.88e-15,
1100,Gauss-Jordan,401.7991,88074.67,5.88e-15,
1100,Jacobi,6.8570,50232.45,3.94e-01,15
1100,Gauss-Seidel,2.2538,50243.69,3.39e-04,5
1200,Eliminasi Gauss,302.5916,104697.18,6.00e-15,
1200,Gauss-Jordan,524.4293,104692.61,6.00e-15,
1200,Jacobi,8.2943,59247.05,3.96e-01,15
1200,Gauss-Seidel,2.7356,59259.07,3.19e-04,5
1300,Eliminasi Gauss,387.3668,122954.52,4.77e-15,
1300,Gauss-Jordan,671.0852,122949.49,4.88e-15,
1300,Jacobi,9.8490,69042.92,4.09e-01,15
1300,Gauss-Seidel,3.2300,69055.73,3.47e-04,5
1400,Eliminasi Gauss,485.0216,140959.60,4.77e-15,
1400,Gauss-Jordan,834.4901,140953.85,5.88e-15,
1400,Jacobi,11.5933,79618.86,4.07e-01,15
1400,Gauss-Seidel,3.0064,79632.45,2.42e-03,4
1500,Eliminasi Gauss,599.8173,162325.61,7.22e-15,
1500,Gauss-Jordan,1073.9752,162318.48,7.44e-15,
1500,Jacobi,13.3422,90977.40,4.24e-01,15
1500,Gauss-Seidel,3.4959,90991.77,2.41e-03,4
1600,Eliminasi Gauss,728.1785,185524.76,5.44e-15,
1600,Gauss-Jordan,1254.0219,185516.32,5.11e-15,
1600,Jacobi,15.2795,103117.74,4.30e-01,15
1600,Gauss-Seidel,3.9769,103133.14,2.31e-03,4
1700,Eliminasi Gauss,870.9082,207580.68,5.88e-15,
1700,Gauss-Jordan,1501.2565,207571.00,5.88e-15,
1700,Jacobi,17.4281,116037.82,4.33e-01,15
1700,Gauss-Seidel,4.5471,116053.81,2.37e-03,4
1800,Eliminasi Gauss,1040.8575,234093.80,6.44e-15,
1800,Gauss-Jordan,1794.9649,234083.34,6.66e-15,
1800,Jacobi,19.6598,129740.57,4.40e-01,15
1800,Gauss-Seidel,5.1017,129757.34,2.41e-03,4
1900,Eliminasi Gauss,1228.9003,258826.88,6.00e-15,
1900,Gauss-Jordan,2117.6431,258815.64,5.22e-15,
1900,Jacobi,22.0871,144222.65,4.48e-01,15
1900,Gauss-Seidel,5.7204,144240.14,2.42e-03,4
2000,Eliminasi Gauss,1432.3531,284808.27,6.22e-15,
2000,Gauss-Jordan,2466.1635,284796.28,7.55e-15,
2000,Jacobi,24.5053,159486.07,4.50e-01,15
2000,Gauss-Seidel,6.3845,159504.35,2.50e-03,4
